SNo,Startup Name,Industry/Sector,City,Investors Name,InvestmentType,Amount(USD),Date
446,Razorpay,AI/ML,MUMBAI,Sequoia Capital,Pre-Seed,Undisclosed,08-12-2020
1039,ola electric,E-Commerce,Kolkata,"SoftBank, Sequoia",Debt Financing,"$30,000,000.00",25/07/2022
967,MobiKwik,Retail Tech,Bombay,Y Combinator,Series A,Undisclosed,
983,PolicyBazaar,AI/ML,Kolkata,Blume,Pre-Seed,"$4,000,000.00",03-Jun-2024
688,LENSKART,Media & Entertainment,PUNE,"Blume, steadview capital",Series D,"₹1,660,000,000",04-22-2024
903,Chargebee,Cleantech,Madras,Kalaari Capital,Debt Financing,"USD 1,700,000",
1120,Byju's,FoodTech,PUNE,"Falcon Edge Capital, Tiger Global",Debt Financing,"$3,500,000",13-Sep-2023
765,Delhivery,SaaS,kolkata,Blume,Series B,Undisclosed,
1249,Delhivery,FoodTech,Madras,Accel,Series A,"$8,000,000",04-07-2021
806,Vernacular.ai,FoodTech,Chennai,lightspeed india,Private Equity,"40,000,000",19/02/2021
1384,vedantu,Gaming,GGN,Lightspeed,Debt Financing,"₹996,000,000",2020/03/26
1496,razorpay,SaaS,Ahmedabad,YC,Series B,N/A,05/10/2024
880,Infra.Market,Real Estate Tech,Noida,Blume,Series B,"₹1,245,000,000",2022-05-27
102,Udaan,AI/ML,Gurgaon,"nexus partners, Chiratae",Series C,,16/02/2022
444,ola electric,Gaming,Madras,Nexus Venture Partners,Series E,"USD 10,000,000",2024-10-01
128,ElasticRun,Retail Tech,Pune,nexus partners,Series C,Undisclosed,02-Jul-2025
534, Zepto ,E-Commerce,Bangalore,"Tiger Global Management, Falcon Edge Capital",Seed,N/A,08-26-2021
1411,Innovaccer,SaaS,Gurgaon,"Elevation, Kalaari Capital",Debt Financing,Undisclosed,17/12/2020
218,Meesho,InsurTech,ahmedabad,"nexus partners, Kalaari Capital",Series D,"$11,000,000.00",19-Jul-2021
1050,Udaan,Mobility,NOIDA,"Blume, Lightspeed",Private Equity,,09-Sep-2022
640,INNOVACCER,InsurTech,gurugram,"Lightspeed Venture Partners, nexus partners",Series C,"10,000,000",16-Aug-2025
416,Chargebee,Media & Entertainment,Gurgaon,Lightspeed,Series E,"$20,000,000",09-17-2020
1075, Digit Insurance ,AgriTech,Noida,"Matrix Partners India, kalaari capital",Series B,,2021/07/16
1377,Postman,,delhi,"Y Combinator, Info Edge",Seed,"$40,000,000",2023-01-18
1482,Razorpay,Cleantech,gurugram,Tiger Global Management,Series C,,14-Dec-2023
808,CarDekho,Mobility,noida,Info Edge,Series A,"$10,000,000.00",15-Mar-2022
204,razorpay,EdTech,pune,"Nexus Venture Partners, Elevation",Bridge,"$7,000,000",24/07/2022
395,rebel foods,Gaming,Delhi,Kalaari Capital,Seed,Undisclosed,30/04/2021
822,Vedantu,SaaS,Gurugram,"Steadview, Blume Ventures",Pre-Seed,"₹830,000,000",20-Apr-2022
1209,Lenskart,Cleantech,Madras,"Tiger Global, Nexus Venture Partners",Series D,"20,000,000",03-29-2023
271,cars24,FinTech,Bengaluru ,"Steadview Capital, Kalaari",Series A,,2020-09-02
572,Freshworks,SaaS,Bombay,kalaari capital,Pre-Seed,"USD 14,000,000",2022-03-18
1189,OYO,AI/ML,kolkata,info edge ventures,Pre-Seed,"₹83,000,000",2021/02/07
509,Licious,Gaming,Bangalore,Nexus Venture Partners,Series A,Undisclosed,2021/01/26
931,Licious,SaaS,Calcutta,"Nexus Venture, SoftBank",Angel,,02/06/2025
524, Urban Company ,InsurTech,Mumbai,Sequoia,Series C,,19-May-2023
878,Urban Company,SaaS,delhi,"Accel, Kalaari Capital",Series A,"₹2,490,000,000",03/11/2024
1221,Physicswallah,Logistics,Bangalore,"Nexus Venture Partners, Accel India",Bridge,"$19,000,000.00",2020-09-25
434,Ola Electric,Real Estate Tech,Delhi,"Nexus Venture, Tiger Global",Pre-Seed,"$2,100,000",09/04/2022
294,POSTMAN,Cleantech,Hyderabad,"Blume Ventures, Softbank Vision Fund",Series C,N/A,30/06/2022
770,Zerodha,Cleantech,GGN,Blume,Angel,"$3,800,000",21/11/2020
673,PharmEasy,Mobility,Bengaluru ,SoftBank,Debt Financing,Undisclosed,10-31-2024
1484,Apna,SaaS,BLR,"lightspeed india, Accel",Series A,"8,000,000",2022-09-18
882,dailyhunt,AgriTech,New Delhi,Accel Partners,Series E,"₹1,494,000,000",2023/09/22
1245,Dunzo,Gaming,Mumbai,"falcon edge, Elevation",Series E,"$30,000,000",05-May-2024
579,bharatpe,AI/ML,New delhi,accel india,Pre-Seed,N/A,2022-02-08
1352,Swiggy,EdTech,Hyderabad,Softbank Vision Fund,Seed,"$20,000,000",2021/01/26
844,FirstCry,Gaming,New delhi,Steadview,Seed,Undisclosed,01-27-2025
873,Delhivery,Gaming,Ahmedabad,"Tiger Global Management, nexus partners",Series C,,14/04/2025
236,CARDEKHO,Logistics,noida,"accel india, Tiger Global Management",Series C,N/A,07-Apr-2025
40,APNA,Media & Entertainment,mumbai,"SoftBank, matrix partners",Debt Financing,"₹74,700,000",01-Jun-2021
1413,Zomato,HealthTech,Bombay,Blume,Debt Financing,"USD 4,600,000",2025/11/15
888,Nykaa,EdTech,Calcutta,"Sequoia, Nexus Venture Partners",Pre-Seed,,2020/03/10
897,postman,Cleantech,hyderabad,"y combinator, falcon edge",Seed,"$100,000",03-13-2021
1058,swiggy,Mobility,NCR,sequoia capital india,Series E,"$4,200,000",14-Sep-2021
1164,mobikwik,HealthTech,NOIDA,Elevation Capital,Series D,,
1414,Pine Labs,Gaming,Mumbai,"accel india, Tiger Global Management",Pre-Seed,"USD 10,000,000",14/09/2023
1220,Innovaccer,FinTech,Hyderabad ,Tiger Global,Series D,"$4,900,000",12-24-2024
676,POSTMAN,EdTech,ahmedabad,"Matrix Partners India, Sequoia",Seed,Undisclosed,2023-07-27
1350,Swiggy,EdTech,New Delhi,"IDG Ventures, lightspeed india",Series E,"$4,500,000.00",2023-03-26
895,Freshworks,Gaming,ahmedabad,nexus partners,Series C,Undisclosed,25-Nov-2025
412,Digit Insurance,AI/ML,,"Kalaari Capital, accel india",Private Equity,"2,600,000",03-Nov-2024
146,Vedantu,Retail Tech,Chennai,matrix partners,Series A,,28/08/2023
256,Dailyhunt,Cleantech,Chennai,"Lightspeed, Chiratae",Bridge,"USD 20,000,000",02-13-2021
1117,Khatabook,InsurTech,Noida,"matrix partners, Elevation",Series D,"₹4,150,000,000",07-19-2024
979,Udaan,InsurTech,Calcutta,InfoEdge,Series B,Undisclosed,
1108,ola electric,AgriTech,chennai,Steadview Capital,Seed,"$20,000,000.00",10/10/2023
1271,OYO,HealthTech,Ahmedabad,Accel India,Seed,"₹830,000,000",31-Jan-2023
293,Moglix,Gaming,New Delhi,sequoia capital india,Private Equity,"USD 20,000,000",2022-08-03
164,ELASTICRUN,Gaming,delhi,"Steadview Capital, Tiger Global Management",Pre-Seed,"17,000,000",25-Jul-2025
1355, Udaan ,FoodTech,Bengaluru ,Nexus Venture,Angel,,2021/12/27
1040,Udaan,Gaming,noida,info edge ventures,Debt Financing,,2022-03-14
467,PolicyBazaar,AgriTech,kolkata,"blume ventures, Info Edge",Series A,"₹2,490,000,000",2024/05/20
970,Dunzo,Gaming,Gurgaon,"Nexus Venture Partners, SOFTBANK",Private Equity,"$4,000,000",10-01-2020
1308,ElasticRun,SaaS,PUNE,"matrix partners, blume ventures",Private Equity,,11-Oct-2025
449,Ola Electric,Logistics,PUNE,"matrix partners, Kalaari Capital",Series B,"₹830,000,000",2024-02-19
532,PolicyBazaar,E-Commerce,Kolkata,Kalaari Capital,Pre-Seed,"$2,500,000",25/06/2021
1012,Groww,Gaming,MUMBAI,"Matrix Partners, Softbank Vision Fund",Private Equity,"50,000,000",2025-01-14
722,Delhivery,Media & Entertainment,Gurugram,"Soft Bank, Info Edge",Series C,"USD 6,000,000",10-15-2022
807,KHATABOOK,FinTech,noida,"sequoia capital india, steadview capital",Debt Financing,"₹58,100,000",2024/11/22
1424,CarDekho,AI/ML,Noida,"info edge ventures, tiger global",Private Equity,,11-14-2024
839,Delhivery,E-Commerce,New delhi,Info Edge,Bridge,,17-Aug-2024
1190,Freshworks,Real Estate Tech,Hyderabad,Accel India,Series E,"1,500,000",02-Apr-2020
432,CarDekho,FoodTech,bangalore,IDG Ventures,Private Equity,,
1019,vernacular.ai,E-Commerce,Madras,Blume Ventures,Series D,"20,000,000",05-25-2020
1311,ola electric,InsurTech,kolkata,"Y Combinator, Falcon Edge",Angel,N/A,12-16-2023
1116,Zepto,FinTech,NOIDA,kalaari capital,Seed,N/A,2024/09/28
1123, Vedantu ,EdTech,kolkata,Elevation Capital,Debt Financing,"$40,000,000",2020-05-07
473,Zerodha,AgriTech,Hyderabad,Nexus Venture Partners,Seed,"2,200,000",
763,NYKAA,Cleantech,Delhi,"info edge ventures, blume ventures",Series B,,2023-10-23
154,Vedantu,HealthTech,MUMBAI,"Steadview, Lightspeed",Series E,Undisclosed,2024-01-07
1304,firstcry,HealthTech,PUNE,"sequoia capital india, Kalaari",Seed,N/A,11-22-2024
512,cred,HealthTech,mumbai,Kalaari Capital,Series A,"$10,000,000",2024/10/02
1396,Physicswallah,Logistics,Gurugram,"Steadview Capital, Y Combinator",Series C,"13,000,000",03-12-2023
879,Nykaa,FinTech,delhi,Elevation,Series A,"$600,000.00",2024-08-27
670,ShareChat,Real Estate Tech,New delhi,"Sequoia Capital India, Blume",Seed,"30,000,000",2025/01/18
1409,Groww,AgriTech,GGN,Steadview Capital,Private Equity,N/A,22-Jun-2025
720,byju's,SaaS,Hyderabad ,kalaari capital,Debt Financing,"USD 30,000,000",14/12/2025
1362,Darwinbox,FinTech,Kolkata,"Kalaari Capital, Accel",Series A,"₹1,660,000,000",15-Dec-2024
955,Physicswallah,SaaS,bangalore,"Nexus Venture Partners, lightspeed india",Seed,"₹3,320,000,000",2025-11-03
1061, boAt ,SaaS,Gurgaon,"Accel, steadview capital",Private Equity,,24/04/2025
1495,OYO,FoodTech,Bengaluru,"Steadview, nexus partners",Angel,,15/08/2022
61,Unacademy,EdTech,bangalore,Tiger Global,Debt Financing,N/A,24-Sep-2021
841,PolicyBazaar,SaaS,chennai,"Accel, Kalaari",Series B,"11,000,000",2021-02-16
1144,BharatPe,SaaS,Noida,"info edge ventures, Steadview",Series C,"13,000,000",06-07-2022
1110,upgrad,Retail Tech,Gurgaon,info edge ventures,Private Equity,N/A,2020/12/07
1422,Infra.Market,FoodTech,noida,tiger global,Series D,Undisclosed,26-Aug-2025
1113,Slice,EdTech,Madras,Sequoia Capital,Angel,"$10,000,000.00",2025/03/28
556,FirstCry,SaaS,mumbai,"Sequoia Capital India, Softbank Vision Fund",Bridge,"$4,000,000",19/01/2025
207,MEESHO,Cleantech,Gurgaon,lightspeed india,Pre-Seed,Undisclosed,30-Apr-2022
1168,zetwerk,AgriTech,PUNE,"Matrix Partners, blume ventures",Series B,N/A,07-28-2023
1099,Zepto,SaaS,New delhi,"Accel, Matrix Partners India",Bridge,,2021-09-21
648,groww,Media & Entertainment,Calcutta,"Falcon Edge, Kalaari",Bridge,Undisclosed,02-10-2020
1448,Nykaa,Retail Tech,Calcutta,"lightspeed india, Chiratae Ventures",Angel,"₹398,400,000",07-25-2022
1129,ShareChat,FoodTech,ahmedabad,"SOFTBANK, Steadview Capital",Pre-Seed,,10-Dec-2020
430,APNA,Logistics,Calcutta,"Elevation Capital, blume ventures",Series E,N/A,11-Aug-2022
155,urban company,Cleantech,pune,"Falcon Edge Capital, kalaari capital",Bridge,Undisclosed,2020-03-07
813,FirstCry,FinTech,Chennai,y combinator,Seed,Undisclosed,10-30-2023
1051,PolicyBazaar,InsurTech,ahmedabad,Nexus Venture Partners,Series D,"₹249,000,000",2024-02-24
249,policybazaar,InsurTech,Ahmedabad,Info Edge,Debt Financing,,06/02/2023
665,bharatpe,SaaS,Ahmedabad,"Y Combinator, sequoia capital india",Series B,Undisclosed,04/01/2020
612,CarDekho,HealthTech,Bombay,blume ventures,Series E,"₹1,245,000,000",2022/09/27
654,CarDekho,Mobility,Chennai,Nexus Venture,Series B,,
1084,ShareChat,Logistics,Bengaluru,"Matrix Partners India, Soft Bank",Series C,"USD 4,000,000",2025/01/20
346,Unacademy,EdTech,Ahmedabad,Chiratae,Bridge,"₹224,100,000",2021/10/04
1048,Meesho,Retail Tech,New Delhi,SAIF Partners,Private Equity,"USD 4,400,000",19/10/2023
894,Udaan,Real Estate Tech,NCR,SAIF Partners,Series E,"USD 10,000,000",18/04/2022
870,Licious,AI/ML,gurugram,"Matrix Partners India, Softbank Vision Fund",Bridge,Undisclosed,24/04/2024
1183,Swiggy,Retail Tech,Bombay,"Matrix Partners, Softbank Vision Fund",Series E,"₹149,400,000",13-Sep-2024
1253,Dunzo,EdTech,Ahmedabad,"Sequoia Capital, Blume Ventures",Seed,"10,000,000",03/02/2025
480,Urban Company,AgriTech,Kolkata,"matrix partners, Softbank Vision Fund",Series C,"₹232,400,000",2023/03/14
610,Unacademy,Retail Tech,Madras,"Tiger Global Management, Kalaari",Series C,"USD 2,200,000",
75,physicswallah,AI/ML,Hyderabad,Accel India,Private Equity,"₹1,411,000,000",22/10/2023
1385,ZOMATO,Retail Tech,ahmedabad,Steadview,Series E,N/A,01-Mar-2020
78,Lenskart,Media & Entertainment,Mumbai,"blume ventures, kalaari capital",Seed,Undisclosed,15/08/2025
715,Unacademy,AgriTech,Kolkata,Accel Partners,Series A,"30,000,000",20/10/2022
602,MEESHO,Cleantech,noida,Tiger Global,Pre-Seed,"₹406,700,000",2021-04-13
318,Unacademy,FinTech,New Delhi,"nexus partners, Kalaari",Series C,"₹2,490,000,000",11-15-2024
596,Postman,EdTech,Gurgaon,"Softbank Vision Fund, accel india",Angel,"USD 40,000,000",
935,Meesho,SaaS,delhi,Chiratae,Bridge,N/A,
1179, Innovaccer ,Mobility,BLR,"Y Combinator, lightspeed india",Series D,"$13,000,000.00",14-Aug-2021
333,Meesho,EdTech,Mumbai,"Y Combinator, Blume",Series B,N/A,27/12/2022
801,Vernacular.ai,HealthTech,Bombay,Nexus Venture,Angel,,05-07-2024
561,CarDekho,Gaming,pune,InfoEdge,Seed,,04/10/2023
470,,,,,,,
889,Freshworks,FoodTech,Delhi,Info Edge,Pre-Seed,"$10,000,000",12-07-2022
666,Dailyhunt,AgriTech,GGN,SOFTBANK,Seed,Undisclosed,02/06/2024
485,upgrad,Logistics,Pune,Sequoia Capital,Series A,"40,000,000",24/10/2025
325,cred,Logistics,Kolkata,"matrix partners, SOFTBANK",Series D,"$10,000,000.00",11-Sep-2021
375,Infra.Market,Gaming,chennai,"Blume, Falcon Edge Capital",Bridge,Undisclosed,
1471,Chargebee,Retail Tech,Noida,Lightspeed Venture Partners,Series A,"$4,000,000",2025-02-13
1282,Apna,HealthTech,pune,"steadview capital, accel india",Pre-Seed,N/A,06/01/2022
176, Khatabook ,Real Estate Tech,chennai,"Kalaari Capital, accel india",Seed,"USD 30,000,000",2021-10-15
691, Freshworks ,AgriTech,gurugram,"Elevation, tiger global",Series A,"50,000,000",17-Aug-2020
910,Groww,InsurTech,ahmedabad,nexus partners,Series D,N/A,12-Nov-2023
131,Dailyhunt,E-Commerce,mumbai,"Chiratae, Lightspeed",Series A,"USD 40,000,000",07-14-2022
1119,Zetwerk,FinTech,Ahmedabad,"InfoEdge, Sequoia",Series A,Undisclosed,09-Jun-2020
1340,MOBIKWIK,Retail Tech,,"Steadview Capital, Nexus Venture",Series B,"USD 300,000",2023/01/05
257,Zerodha,Logistics,NCR,Nexus Venture,Series B,,06-16-2025
240,Ola Electric,FoodTech,Pune,"kalaari capital, Info Edge",Angel,Undisclosed,26/05/2025
1158,Urban Company,EdTech,Noida,"blume ventures, Steadview Capital",Seed,,26-Aug-2022
600,SHARECHAT,Mobility,Calcutta,"Falcon Edge Capital, tiger global",Series B,"$19,000,000.00",02-14-2023
89,Nykaa,Cleantech,BLR,"Steadview, Sequoia Capital",Series E,,2021-06-30
1376,NYKAA,InsurTech,delhi,Matrix Partners India,Seed,"₹257,300,000",2023-01-29
1319, Acko ,FoodTech,Gurugram,IDG Ventures,Series E,"₹3,320,000,000",2021/03/10
1130,Zepto,EdTech,hyderabad,"Blume, InfoEdge",Bridge,"$12,000,000.00",03-May-2023
483,elasticrun,Mobility,noida,"Steadview, Lightspeed",Series D,"$19,000,000",24-May-2021
526,FirstCry,Gaming,delhi,y combinator,Series C,"40,000,000",08-Nov-2021
861,Freshworks,E-Commerce,Hyderabad,"YC, Lightspeed Venture Partners",Series B,"USD 3,700,000",07-20-2020
1286,Apna,Mobility,ahmedabad,"Accel Partners, IDG Ventures",Angel,N/A,25/06/2020
943,Chargebee,FoodTech,GGN,YC,Pre-Seed,"$3,400,000.00",04-Dec-2023
470,Digit Insurance,AI/ML,chennai,Nexus Venture Partners,Seed,Undisclosed,08-Jun-2025
482,GROWW,FoodTech,pune,"matrix partners, nexus partners",Bridge,Undisclosed,12/03/2022
135,vernacular.ai,Real Estate Tech,bangalore,"Blume, Accel India",Pre-Seed,"₹99,600,000",2022-10-06
690,Dunzo,InsurTech,Bangalore,"Accel, InfoEdge",Private Equity,Undisclosed,2025/02/24
1476,Pine Labs,E-Commerce,MUMBAI,Elevation,Series B,"₹340,300,000",25/09/2025
830,apna,InsurTech,Calcutta,"Elevation, falcon edge",Private Equity,N/A,2021/11/14
118,Darwinbox,SaaS,Ahmedabad,"Tiger Global, SAIF Partners",Private Equity,"$3,000,000",31/01/2025
991,Dailyhunt,Gaming,Mumbai,"falcon edge, y combinator",Pre-Seed,"400,000",2025/04/27
233,Digit Insurance,Logistics,ahmedabad,"SOFTBANK, Sequoia",Series C,"$14,000,000.00",20-Sep-2023
1247,Darwinbox,Retail Tech,MUMBAI,"Sequoia Capital India, Nexus Venture Partners",Series B,"$400,000",27/04/2025
54, Licious ,HealthTech,Chennai,Blume Ventures,Series D,"₹16,600,000",01-08-2024
330,pine labs,Gaming,,Sequoia,Private Equity,"$4,100,000.00",2024/03/19
803,CRED,Cleantech,PUNE,steadview capital,Angel,,2022/09/15
1041,unacademy,EdTech,Gurugram,Accel,Series B,"$15,000,000.00",26/02/2021
1416,darwinbox,Gaming,Bangalore,Soft Bank,Angel,"USD 50,000,000",2025-06-04
25, Acko ,FoodTech,ahmedabad,Matrix Partners India,Series C,,19-Mar-2025
809,dunzo,HealthTech,New delhi,Accel,Series B,,2020/09/02
27, Zepto ,SaaS,chennai,SAIF Partners,Seed,"$4,900,000.00",22-Oct-2025
64,Unacademy,Gaming,Delhi,SoftBank,Series E,"$1,600,000.00",2022-12-22
845,PolicyBazaar,Retail Tech,gurugram,Accel India,Series B,"$4,600,000",27/04/2021
238,Chargebee,Cleantech,Ahmedabad,Blume Ventures,Series C,"$500,000.00",04/02/2022
304,elasticrun,HealthTech,NOIDA,"Nexus Venture, Kalaari",Debt Financing,Undisclosed,29-Oct-2025
1208,DAILYHUNT,Cleantech,GGN,blume ventures,Series C,"$1,200,000.00",2025-05-28
108,Byju's,AI/ML,hyderabad,nexus partners,Private Equity,"USD 20,000,000",24-Aug-2023
936,Groww,E-Commerce,Pune,"Soft Bank, blume ventures",Debt Financing,"$19,000,000",
1007,CRED,AgriTech,Pune,"tiger global, nexus partners",Series D,"$5,000,000",2024/02/13
1432,Chargebee,E-Commerce,Madras,info edge ventures,Series C,"USD 40,000,000",2024/04/11
805,Slice,,PUNE,"SOFTBANK, Blume Ventures",Seed,"20,000,000",2021-09-26
711,Digit Insurance,HealthTech,,"Steadview, Elevation Capital",Series B,"$1,600,000.00",25/10/2025
921,Khatabook,Real Estate Tech,NOIDA,"Accel India, Y Combinator",Debt Financing,,2024-07-30
208,pharmeasy,Cleantech,Delhi,steadview capital,Series A,"₹664,000,000",2025-03-16
250,Khatabook,FinTech,Pune,Falcon Edge Capital,Debt Financing,"₹830,000,000",21-Oct-2022
1349,Ola Electric,,Calcutta,Chiratae,Private Equity,"20,000,000",03-04-2024
460,Zerodha,,gurugram,"Accel, steadview capital",Debt Financing,,12-Jul-2024
1236,upGrad,Cleantech,Madras,"Info Edge, YC",Series C,"$1,700,000",10-Feb-2023
1066,CARS24,HealthTech,Mumbai,"Matrix Partners, Tiger Global",Bridge,"₹1,660,000,000",2021/05/14
394,zerodha,HealthTech,chennai,"Chiratae Ventures, Kalaari Capital",Seed,Undisclosed,03-23-2022
137,Byju's,HealthTech,Hyderabad ,"Chiratae Ventures, Nexus Venture",Pre-Seed,"$2,500,000.00",08/04/2024
1395,Mamaearth,Retail Tech,MUMBAI,"nexus partners, steadview capital",Series D,,2023/12/20
425,Cars24,AgriTech,hyderabad,Steadview,Debt Financing,"USD 8,000,000",19-Jan-2024
1073,Byju's,Mobility,noida,"Kalaari, Elevation",Bridge,N/A,16-Mar-2025
372,Urban Company,AgriTech,Chennai,"Tiger Global, blume ventures",Series B,"$30,000,000",12-02-2020
73,BharatPe,SaaS,delhi,Sequoia Capital India,Pre-Seed,"USD 40,000,000",2025/08/11
1312,BharatPe,Gaming,MUMBAI,Softbank Vision Fund,Series C,"$14,000,000",30/09/2025
723,PolicyBazaar,E-Commerce,Ahmedabad,Elevation,Series E,"4,000,000",13/04/2025
289,Zetwerk,Cleantech,Ahmedabad,"Falcon Edge Capital, Steadview Capital",Series C,N/A,2021-10-05
1015,Postman,FoodTech,Calcutta,"Sequoia Capital, InfoEdge",Debt Financing,"₹348,600,000",27/01/2025
661,boAt,Mobility,Hyderabad ,Sequoia Capital India,Series B,N/A,11-21-2023
1165,PharmEasy,Real Estate Tech,Calcutta,Soft Bank,Debt Financing,N/A,11-Nov-2022
937,postman,Mobility,Chennai,"Falcon Edge, YC",Seed,Undisclosed,12-16-2024
53,Dunzo,Gaming,Hyderabad ,Chiratae,Angel,Undisclosed,2020/05/27
1064,Delhivery,InsurTech,Noida,"Softbank Vision Fund, Info Edge",Series B,"1,000,000",04-11-2023
1280,Nykaa,E-Commerce,Bombay,"Falcon Edge, Sequoia",Pre-Seed,N/A,05-12-2020
242,Groww,E-Commerce,NCR,info edge ventures,Debt Financing,"$4,000,000.00",05-Jan-2020
1191,Vedantu,FinTech,Noida,Steadview Capital,Bridge,"$14,000,000",2025-09-28
222,cardekho,EdTech,chennai,"Falcon Edge Capital, sequoia capital india",Series C,,15/03/2022
393,Khatabook,HealthTech,mumbai,IDG Ventures,Angel,"$11,000,000.00",03/12/2022
929,acko,AgriTech,Hyderabad,Elevation,Pre-Seed,Undisclosed,2020-06-05
228,Razorpay,EdTech,delhi,InfoEdge,Pre-Seed,,10-Mar-2020
314,Innovaccer,HealthTech,NOIDA,"Tiger Global Management, blume ventures",Angel,"USD 4,600,000",2021/08/11
216,ShareChat,Cleantech,NCR,Accel Partners,Pre-Seed,,
1132,PharmEasy,SaaS,Chennai,Steadview Capital,Series C,N/A,2020/06/02
311,FirstCry,HealthTech,hyderabad,falcon edge,Series D,"USD 30,000,000",07/08/2023
755,Nykaa,E-Commerce,Gurugram,Sequoia Capital India,Private Equity,N/A,15/01/2025
846,Razorpay,Media & Entertainment,Hyderabad ,Steadview,Pre-Seed,"₹4,150,000,000",09-May-2022
20,Innovaccer,EdTech,Hyderabad ,"SOFTBANK, sequoia capital india",Seed,"20,000,000",2023/12/19
659,upGrad,HealthTech,Mumbai,SOFTBANK,Private Equity,"USD 4,100,000",14-Mar-2024
38,Chargebee,AgriTech,NOIDA,"Y Combinator, sequoia capital india",Series C,,2025/04/22
327,Delhivery,E-Commerce,Bengaluru,"matrix partners, blume ventures",Series C,"$13,000,000.00",
1112,FirstCry,Logistics,mumbai,blume ventures,Private Equity,,22-Mar-2020
1014,Infra.Market,FinTech,Bangalore,info edge ventures,Series E,"$9,000,000.00",15/05/2022
445,Razorpay,E-Commerce,BLR,kalaari capital,Series E,"USD 8,000,000",2023-10-27
591,Unacademy,Mobility,PUNE,tiger global,Series D,"40,000,000",
1462,Mamaearth,Media & Entertainment,Ahmedabad,"Accel, tiger global",Series D,"USD 14,000,000",2020-12-12
1450,SLICE,Retail Tech,Ahmedabad,"matrix partners, Accel India",Private Equity,,04-07-2020
488,urban company,FoodTech,Gurugram,Matrix Partners India,Bridge,"$10,000,000.00",11-22-2020
345,Zerodha,InsurTech,Gurugram,"Sequoia, Nexus Venture Partners",Private Equity,"$6,000,000.00",17/02/2025
1373,Cars24,HealthTech,Hyderabad,"Kalaari, SAIF Partners",Series B,"₹3,320,000,000",11-11-2023
656,Dunzo,AI/ML,Noida,sequoia capital india,Seed,"4,000,000",2024-09-14
183,Razorpay,EdTech,Pune,Tiger Global Management,Series B,"10,000,000",2023/10/16
283,ElasticRun,InsurTech,NOIDA,Accel India,Series D,"5,000,000",2025/05/03
440,Acko,E-Commerce,hyderabad,"nexus partners, SoftBank",Series A,"$12,000,000",2022-06-26
552,boAt,AI/ML,NOIDA,"Tiger Global, info edge ventures",Series A,,09-21-2020
754,ZETWERK,EdTech,Mumbai,kalaari capital,Series B,"$4,700,000.00",
348,Groww,,Chennai,"steadview capital, Y Combinator",Pre-Seed,"40,000,000",27-Jan-2025
170,khatabook,EdTech,Madras,Matrix Partners India,Series E,"₹913,000,000",2022-08-14
315,CarDekho,Real Estate Tech,hyderabad,Blume Ventures,Series E,,2021/06/05
99,Freshworks,Media & Entertainment,Bombay,"SOFTBANK, SAIF Partners",Debt Financing,"$20,000,000.00",2021/12/02
951,Vernacular.ai,EdTech,Gurugram,"Accel Partners, nexus partners",Private Equity,,29/10/2021
997,ZERODHA,EdTech,Madras,lightspeed india,Debt Financing,"USD 30,000,000",17/09/2023
1368,MobiKwik,E-Commerce,Madras,info edge ventures,Private Equity,"300,000",04-01-2022
71,FRESHWORKS,SaaS,chennai,Lightspeed,Series E,"$5,000,000",29/09/2021
759,Vernacular.ai,Retail Tech,Bengaluru,Elevation,Debt Financing,"USD 2,800,000",2024/04/29
700,Cars24,FoodTech,Hyderabad ,"Sequoia Capital India, y combinator",Bridge,N/A,2020-08-30
495,Nykaa,InsurTech,kolkata,Matrix Partners,Series D,"USD 4,000,000",2021/04/20
468,Dailyhunt,Retail Tech,noida,steadview capital,Series A,"₹215,800,000",2023-04-10
34,FirstCry,E-Commerce,delhi,InfoEdge,Private Equity,"USD 40,000,000",2020/11/07
678,ShareChat,InsurTech,pune,Elevation,Debt Financing,,05-30-2023
103,bharatpe,Cleantech,Bangalore,"accel india, Info Edge",Seed,Undisclosed,
938,Mamaearth,Real Estate Tech,PUNE,"Lightspeed, y combinator",Private Equity,"₹157,700,000",2021-05-01
776, Licious ,SaaS,NOIDA,"Nexus Venture Partners, Chiratae",Angel,,2025/05/06
1153,Dunzo,AI/ML,bangalore,Kalaari Capital,Private Equity,N/A,04/04/2020
1043,Physicswallah,AgriTech,Delhi,Kalaari Capital,Pre-Seed,N/A,16/06/2020
457,Chargebee,Cleantech,PUNE,Accel,Series C,"₹240,700,000",06-Oct-2024
3,Delhivery,EdTech,NOIDA,"Tiger Global Management, falcon edge",Private Equity,"20,000,000",06/07/2020
686,PolicyBazaar,AI/ML,Chennai,"y combinator, Chiratae Ventures",Series B,"USD 2,400,000",30/05/2025
296,CARS24,InsurTech,Bengaluru ,accel india,Bridge,"$10,000,000.00",09-26-2024
1447,CarDekho,Mobility,Madras,"matrix partners, Sequoia Capital India",Debt Financing,"₹2,490,000,000",11-02-2022
1058,swiggy,Mobility,NCR,sequoia capital india,Series E,"$4,200,000",14-Sep-2021
1337,PharmEasy,Retail Tech,,Softbank Vision Fund,Series A,"40,000,000",2023-03-20
408,upGrad,Gaming,hyderabad,tiger global,Angel,"$6,000,000",07-Dec-2020
380,Ola Electric,AgriTech,Gurgaon,info edge ventures,Series A,"$2,000,000",2023-08-28
